,ranker,player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches
125,,Steven Davis,nir NIR,MF,Southampton,31,1985,32,29,"2,643",0,3,0,0,3,0,0.00,0.10,0.10,0.00,0.10,/en/players/cf15bbb1/matchlogs/2016-2017/Steven-Davis-Match-Logs
126,,Craig Dawson,eng ENG,DF,West Brom,26,1990,37,37,"3,276",4,0,0,0,10,0,0.11,0.00,0.11,0.11,0.11,/en/players/3e9e06cb/matchlogs/2016-2017/Craig-Dawson-Match-Logs
127,,Michael Dawson,eng ENG,DF,Hull City,32,1983,22,19,"1,722",3,0,0,0,4,0,0.16,0.00,0.16,0.16,0.16,/en/players/4771114f/matchlogs/2016-2017/Michael-Dawson-Match-Logs
128,,Kevin De Bruyne,be BEL,MF,Manchester City,25,1991,36,33,"2,877",6,17,0,1,4,0,0.19,0.53,0.72,0.19,0.72,/en/players/e46012d4/matchlogs/2016-2017/Kevin-De-Bruyne-Match-Logs
129,,Mathieu Debuchy,fr FRA,DF,Arsenal,31,1985,1,1,15,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,/en/players/92232aad/matchlogs/2016-2017/Mathieu-Debuchy-Match-Logs
130,,Troy Deeney,eng ENG,FW,Watford,28,1988,37,31,"2,944",10,4,3,3,7,0,0.31,0.12,0.43,0.21,0.34,/en/players/82e34b69/matchlogs/2016-2017/Troy-Deeney-Match-Logs
131,,Jermain Defoe,eng ENG,FW,Sunderland,33,1982,37,37,"3,321",15,2,5,5,1,0,0.41,0.05,0.46,0.27,0.33,/en/players/f1e8372d/matchlogs/2016-2017/Jermain-Defoe-Match-Logs
132,,Steven Defour,be BEL,MF,Burnley,28,1988,21,16,"1,068",1,3,0,0,1,0,0.08,0.25,0.34,0.08,0.34,/en/players/73489527/matchlogs/2016-2017/Steven-Defour-Match-Logs
133,,Damien Delaney,ie IRL,DF,Crystal Palace,35,1981,30,21,"2,014",0,2,0,0,8,0,0.00,0.09,0.09,0.00,0.09,/en/players/210d9ecb/matchlogs/2016-2017/Damien-Delaney-Match-Logs
134,,Fabian Delph,eng ENG,MF,Manchester City,26,1989,7,2,224,1,0,0,0,1,0,0.40,0.00,0.40,0.40,0.40,/en/players/111c3236/matchlogs/2016-2017/Fabian-Delph-Match-Logs
135,,Mousa Dembélé,be BEL,MF,Tottenham,29,1987,30,24,"2,056",1,1,0,0,5,0,0.04,0.04,0.09,0.04,0.09,/en/players/f7ee69fb/matchlogs/2016-2017/Mousa-Dembele-Match-Logs
136,,Jason Denayer,be BEL,"MF,DF",Sunderland,21,1995,24,22,"1,877",0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,/en/players/47af88b8/matchlogs/2016-2017/Jason-Denayer-Match-Logs
137,,Memphis Depay,nl NED,"FW,MF",Manchester Utd,22,1994,4,0,24,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,/en/players/8f696594/matchlogs/2016-2017/Memphis-Depay-Match-Logs
138,,Mike van der Hoorn,nl NED,DF,Swansea City,23,1992,8,7,662,1,0,0,0,1,0,0.14,0.00,0.14,0.14,0.14,/en/players/25f50295/matchlogs/2016-2017/Mike-van-der-Hoorn-Match-Logs
139,,Gerard Deulofeu,es ESP,"FW,MF",Everton,22,1994,11,4,460,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,/en/players/39583cfd/matchlogs/2016-2017/Gerard-Deulofeu-Match-Logs
140,,Eric Dier,eng ENG,"DF,MF",Tottenham,22,1994,36,34,"3,043",2,1,0,0,6,0,0.06,0.03,0.09,0.06,0.09,/en/players/ac861941/matchlogs/2016-2017/Eric-Dier-Match-Logs
141,,Virgil van Dijk,nl NED,DF,Southampton,25,1991,21,21,"1,853",1,0,0,0,4,2,0.05,0.00,0.05,0.05,0.05,/en/players/e06683ca/matchlogs/2016-2017/Virgil-van-Dijk-Match-Logs
142,,Adama Diomande,no NOR,"FW,MF",Hull City,26,1990,22,13,"1,171",2,0,0,0,1,0,0.15,0.00,0.15,0.15,0.15,/en/players/336dbcb2/matchlogs/2016-2017/Adama-Diomande-Match-Logs
