name,id,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,strength
Arsenal,1,1180,1240,1170,1170,1150,1200,4
Bournemouth,2,1020,1020,990,1030,1000,1050,2
Burnley,3,1110,1180,1130,1070,970,1110,3
Chelsea,4,1220,1230,1240,1240,1220,1250,4
Crystal Palace,5,1130,1120,1080,1180,1040,1040,3
Everton,6,1100,1240,1100,1210,1170,1180,3
Hull City,7,1010,1120,1100,1100,1000,1130,2
Leicester,8,1210,1160,1150,1080,1210,1100,3
Liverpool,9,1340,1350,1310,1320,1310,1330,5
Man City,10,1330,1340,1260,1270,1320,1320,5
Man Utd,11,1220,1300,1260,1330,1180,1260,4
Middlesbrough,12,990,1100,1080,1080,980,1110,2
Southampton,13,1150,1040,1080,1050,1110,1080,3
Spurs,14,1180,1240,1100,1130,1200,1140,4
Stoke City,15,1210,1160,1150,1080,1210,1100,3
Sunderland,16,980,1090,1070,1070,970,1100,1
Swansea,17,1130,1120,1080,1180,1040,1040,3
Watford,18,1030,1140,1120,1120,1020,1150,3
West Brom,19,1040,1030,1000,1030,1030,1150,2
West Ham,20,1040,1030,1000,1030,1030,1150,2
