,ranker,player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,matches
0,,Patrick van Aanholt,nl NED,DF,Crystal Palace,26,1990,28,25,"2,184",5,1,0,0,7,0,0.21,0.04,0.25,0.21,0.25,3.4,3.4,1.7,0.14,0.07,0.21,0.14,0.21,/en/players/5f09991f/matchlogs/2017-2018/Patrick-van-Aanholt-Match-Logs
1,,Rolando Aarons,eng ENG,"MF,FW",Newcastle Utd,21,1995,4,1,139,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.12,0.00,0.12,0.12,0.12,/en/players/c5942695/matchlogs/2017-2018/Rolando-Aarons-Match-Logs
2,,Tammy Abraham,eng ENG,"FW,MF",Swansea City,19,1997,31,15,"1,726",5,1,0,0,0,0,0.26,0.05,0.31,0.26,0.31,6.4,6.4,0.8,0.33,0.04,0.38,0.33,0.38,/en/players/f586779e/matchlogs/2017-2018/Tammy-Abraham-Match-Logs
3,,Charlie Adam,sco SCO,MF,Stoke City,31,1985,11,5,411,0,0,0,1,2,1,0.00,0.00,0.00,0.00,0.00,1.4,0.6,1.4,0.30,0.32,0.62,0.13,0.45,/en/players/aff418dc/matchlogs/2017-2018/Charlie-Adam-Match-Logs
4,,Adrián,es ESP,GK,West Ham,30,1987,19,19,"1,710",0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,/en/players/f76e6b4e/matchlogs/2017-2018/Adrian-Match-Logs
5,,Ibrahim Afellay,nl NED,MF,Stoke City,31,1986,6,1,166,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,/en/players/9a8c6673/matchlogs/2017-2018/Ibrahim-Afellay-Match-Logs
6,,Benik Afobe,cd COD,"FW,MF",Bournemouth,24,1993,17,5,611,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.8,1.8,0.0,0.31,0.01,0.31,0.31,0.31,/en/players/b63f4077/matchlogs/2017-2018/Benik-Afobe-Match-Logs
7,,Sergio Agüero,ar ARG,FW,Manchester City,29,1988,25,22,"1,963",21,6,4,4,2,0,0.96,0.28,1.24,0.78,1.05,17.3,14.3,6.2,0.79,0.28,1.07,0.65,0.93,/en/players/4d034881/matchlogs/2017-2018/Sergio-Aguero-Match-Logs
8,,Nathan Aké,nl NED,DF,Bournemouth,22,1995,38,37,"3,353",2,3,0,0,5,0,0.05,0.08,0.13,0.05,0.13,2.1,2.1,1.8,0.06,0.05,0.10,0.06,0.10,/en/players/eaeca114/matchlogs/2017-2018/Nathan-Ake-Match-Logs
9,,Marc Albrighton,eng ENG,"MF,FW",Leicester City,27,1989,34,30,"2,538",2,7,0,0,5,1,0.07,0.25,0.32,0.07,0.32,1.5,1.5,4.4,0.05,0.16,0.21,0.05,0.21,/en/players/b827d5b3/matchlogs/2017-2018/Marc-Albrighton-Match-Logs
10,,Toby Alderweireld,be BEL,DF,Tottenham,28,1989,14,13,"1,178",0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.3,0.04,0.02,0.06,0.04,0.06,/en/players/f7d50789/matchlogs/2017-2018/Toby-Alderweireld-Match-Logs
