,ranker,player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,matches
11,,Trent Alexander-Arnold,eng ENG,DF,Liverpool,18,1998,19,18,"1,573",1,1,0,0,3,0,0.06,0.06,0.11,0.06,0.11,1.2,1.2,2.4,0.07,0.14,0.21,0.07,0.21,/en/players/cd1acf9d/matchlogs/2017-2018/Trent-Alexander-Arnold-Match-Logs
12,,Joe Allen,wal WAL,MF,Stoke City,27,1990,36,36,"3,139",2,6,0,0,8,0,0.06,0.17,0.23,0.06,0.23,2.4,2.4,2.7,0.07,0.08,0.15,0.07,0.15,/en/players/9feb8f24/matchlogs/2017-2018/Joe-Allen-Match-Logs
13,,Dele Alli,eng ENG,"MF,FW",Tottenham,21,1996,36,34,"2,958",9,10,0,0,7,0,0.27,0.30,0.58,0.27,0.58,9.2,9.2,7.7,0.28,0.23,0.51,0.28,0.51,/en/players/cea4ee8f/matchlogs/2017-2018/Dele-Alli-Match-Logs
14,,Marcos Alonso,es ESP,"MF,DF",Chelsea,26,1990,33,33,"2,855",7,2,0,0,6,0,0.22,0.06,0.28,0.22,0.28,4.2,4.2,1.4,0.13,0.04,0.18,0.13,0.18,/en/players/f4290206/matchlogs/2017-2018/Marcos-Alonso-Match-Logs
15,,Daniel Amartey,gh GHA,DF,Leicester City,22,1994,8,6,487,0,0,0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,/en/players/1a4ef233/matchlogs/2017-2018/Daniel-Amartey-Match-Logs
16,,Ethan Ampadu,wal WAL,DF,Chelsea,16,2000,1,0,11,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,/en/players/10b9fa99/matchlogs/2017-2018/Ethan-Ampadu-Match-Logs
17,,Nordin Amrabat,ma MAR,FW,Watford,30,1987,3,3,198,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.02,0.06,0.08,0.02,0.08,/en/players/7c2a398c/matchlogs/2017-2018/Nordin-Amrabat-Match-Logs
18,,Michail Antonio,eng ENG,"FW,MF",West Ham,27,1990,21,16,"1,354",3,1,0,0,1,0,0.20,0.07,0.27,0.20,0.27,2.2,2.2,0.9,0.15,0.06,0.21,0.15,0.21,/en/players/ac05f970/matchlogs/2017-2018/Michail-Antonio-Match-Logs
19,,Scott Arfield,ca CAN,"FW,MF",Burnley,28,1988,18,15,"1,333",2,1,0,0,3,0,0.14,0.07,0.20,0.14,0.20,1.5,1.5,0.5,0.10,0.03,0.13,0.10,0.13,/en/players/b1313ec4/matchlogs/2017-2018/Scott-Arfield-Match-Logs
20,,Marko Arnautović,at AUT,"FW,MF",West Ham,28,1989,31,28,"2,313",11,6,0,0,5,1,0.43,0.23,0.66,0.43,0.66,10.6,10.6,4.3,0.41,0.17,0.58,0.41,0.58,/en/players/00459419/matchlogs/2017-2018/Marko-Arnautovic-Match-Logs
21,,Harry Arter,ie IRL,MF,Bournemouth,27,1989,13,11,960,1,0,0,0,4,0,0.09,0.00,0.09,0.09,0.09,0.6,0.6,0.2,0.06,0.02,0.08,0.06,0.08,/en/players/2f4c5a52/matchlogs/2017-2018/Harry-Arter-Match-Logs
22,,Christian Atsu,gh GHA,"MF,FW",Newcastle Utd,25,1992,28,19,"1,784",2,2,0,0,1,0,0.10,0.10,0.20,0.10,0.20,3.2,3.2,2.5,0.16,0.13,0.29,0.16,0.29,/en/players/8816329f/matchlogs/2017-2018/Christian-Atsu-Match-Logs
23,,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,28,1989,13,12,"1,057",10,4,1,2,0,0,0.85,0.34,1.19,0.77,1.11,7.9,6.3,1.1,0.67,0.09,0.76,0.54,0.63,/en/players/d5dd5f1f/matchlogs/2017-2018/Pierre-Emerick-Aubameyang-Match-Logs
24,,Serge Aurier,ci CIV,DF,Tottenham,24,1992,17,16,"1,429",2,2,0,0,2,2,0.13,0.13,0.25,0.13,0.25,0.7,0.7,2.5,0.04,0.16,0.20,0.04,0.20,/en/players/5c2b4f07/matchlogs/2017-2018/Serge-Aurier-Match-Logs
25,,Charlie Austin,eng ENG,FW,Southampton,28,1989,24,10,"1,037",7,0,1,1,2,0,0.61,0.00,0.61,0.52,0.52,7.8,7.1,0.2,0.69,0.02,0.71,0.62,0.64,/en/players/8d228291/matchlogs/2017-2018/Charlie-Austin-Match-Logs
26,,André Ayew,gh GHA,"FW,MF",West Ham,27,1989,18,9,895,3,2,0,1,2,0,0.30,0.20,0.50,0.30,0.50,2.6,1.8,0.3,0.26,0.03,0.29,0.19,0.21,/en/players/5dbefa9d/matchlogs/2017-2018/Andre-Ayew-Match-Logs
27,,André Ayew,gh GHA,"FW,MF",Swansea City,27,1989,12,10,950,0,2,0,0,3,0,0.00,0.19,0.19,0.00,0.19,2.3,2.3,1.0,0.22,0.10,0.32,0.22,0.32,/en/players/5dbefa9d/matchlogs/2017-2018/Andre-Ayew-Match-Logs
28,,Jordan Ayew,gh GHA,"FW,MF",Swansea City,25,1991,36,33,"2,852",7,2,1,1,2,1,0.22,0.06,0.28,0.19,0.25,6.3,5.6,1.2,0.20,0.04,0.24,0.18,0.21,/en/players/da052c14/matchlogs/2017-2018/Jordan-Ayew-Match-Logs
29,,César Azpilicueta,es ESP,DF,Chelsea,27,1989,37,37,"3,330",2,6,0,0,1,0,0.05,0.16,0.22,0.05,0.22,1.3,1.3,3.4,0.04,0.09,0.13,0.04,0.13,/en/players/53cad200/matchlogs/2017-2018/Cesar-Azpilicueta-Match-Logs
30,,Eric Bailly,ci CIV,DF,Manchester Utd,23,1994,13,11,"1,001",1,0,0,0,2,0,0.09,0.00,0.09,0.09,0.09,1.0,1.0,0.2,0.09,0.02,0.11,0.09,0.11,/en/players/a1232f4e/matchlogs/2017-2018/Eric-Bailly-Match-Logs
31,,Leighton Baines,eng ENG,"DF,MF",Everton,32,1984,22,22,"1,909",2,3,2,2,1,0,0.09,0.14,0.24,0.00,0.14,1.9,0.4,2.2,0.09,0.10,0.19,0.02,0.12,/en/players/b18095b6/matchlogs/2017-2018/Leighton-Baines-Match-Logs
32,,Tiemoué Bakayoko,fr FRA,MF,Chelsea,22,1994,29,24,"2,126",2,2,0,0,4,2,0.08,0.08,0.17,0.08,0.17,3.2,3.2,0.6,0.14,0.02,0.16,0.14,0.16,/en/players/59bf127b/matchlogs/2017-2018/Tiemoue-Bakayoko-Match-Logs
33,,Sam Baldock,eng ENG,"FW,MF",Brighton,28,1989,2,0,32,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,/en/players/9d597f08/matchlogs/2017-2018/Sam-Baldock-Match-Logs
34,,Beni Baningime,cd COD,MF,Everton,18,1998,8,1,198,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,/en/players/ca9178af/matchlogs/2017-2018/Beni-Baningime-Match-Logs
35,,Phil Bardsley,sco SCO,DF,Burnley,32,1985,13,13,"1,125",0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.7,0.00,0.05,0.06,0.00,0.06,/en/players/1ae30132/matchlogs/2017-2018/Phil-Bardsley-Match-Logs
36,,Ross Barkley,eng ENG,MF,Chelsea,23,1993,2,2,129,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.1,0.37,0.07,0.44,0.37,0.44,/en/players/3a24769f/matchlogs/2017-2018/Ross-Barkley-Match-Logs
37,,Ashley Barnes,at AUT,FW,Burnley,27,1989,36,21,"2,165",9,0,0,0,10,0,0.37,0.00,0.37,0.37,0.37,6.7,6.7,1.6,0.28,0.07,0.35,0.28,0.35,/en/players/2691c772/matchlogs/2017-2018/Ashley-Barnes-Match-Logs
38,,Harvey Barnes,eng ENG,"MF,FW",Leicester City,19,1997,3,0,10,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,1.92,0.00,1.92,1.92,1.92,/en/players/3ea50f67/matchlogs/2017-2018/Harvey-Barnes-Match-Logs
39,,Gareth Barry,eng ENG,MF,West Brom,36,1981,25,22,"1,923",1,1,0,0,4,0,0.05,0.05,0.09,0.05,0.09,1.1,1.1,1.9,0.05,0.09,0.14,0.05,0.14,/en/players/7dbbe367/matchlogs/2017-2018/Gareth-Barry-Match-Logs
40,,Kyle Bartley,eng ENG,DF,Swansea City,26,1991,5,2,235,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.10,0.09,0.20,0.10,0.20,/en/players/18e96f64/matchlogs/2017-2018/Kyle-Bartley-Match-Logs
41,,Michy Batshuayi,be BEL,FW,Chelsea,23,1993,12,3,360,2,1,0,0,0,0,0.50,0.25,0.75,0.50,0.75,1.1,1.1,0.1,0.27,0.04,0.31,0.27,0.31,/en/players/2973d8ff/matchlogs/2017-2018/Michy-Batshuayi-Match-Logs
42,,Moritz Bauer,at AUT,"DF,MF",Stoke City,25,1992,15,15,"1,306",0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.9,0.02,0.06,0.08,0.02,0.08,/en/players/cfe6238d/matchlogs/2017-2018/Moritz-Bauer-Match-Logs
43,,Jan Bednarek,pl POL,DF,Southampton,21,1996,5,5,426,1,0,0,0,1,0,0.21,0.00,0.21,0.21,0.21,0.1,0.1,0.0,0.02,0.00,0.02,0.02,0.02,/en/players/4115ce4e/matchlogs/2017-2018/Jan-Bednarek-Match-Logs
44,,Asmir Begović,ba BIH,GK,Bournemouth,30,1987,38,38,"3,420",0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,/en/players/7b4de647/matchlogs/2017-2018/Asmir-Begovic-Match-Logs
45,,Héctor Bellerín,es ESP,"DF,MF",Arsenal,22,1995,35,34,"3,051",2,3,0,0,5,0,0.06,0.09,0.15,0.06,0.15,2.2,2.2,3.4,0.06,0.10,0.16,0.06,0.16,/en/players/f874dd44/matchlogs/2017-2018/Hector-Bellerin-Match-Logs
46,,Yohan Benalouane,tn TUN,DF,Leicester City,30,1987,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.08,0.00,0.08,0.08,0.08,/en/players/8309b068/matchlogs/2017-2018/Yohan-Benalouane-Match-Logs
47,,Christian Benteke,be BEL,FW,Crystal Palace,26,1990,31,24,"2,240",3,5,1,2,6,0,0.12,0.20,0.32,0.08,0.28,9.5,8.0,3.1,0.38,0.13,0.51,0.32,0.45,/en/players/ab070c55/matchlogs/2017-2018/Christian-Benteke-Match-Logs
48,,Saido Berahino,bi BDI,"FW,MF",Stoke City,23,1993,15,3,494,0,1,0,1,0,0,0.00,0.18,0.18,0.00,0.18,2.2,1.5,0.6,0.41,0.11,0.52,0.27,0.38,/en/players/25b166d0/matchlogs/2017-2018/Saido-Berahino-Match-Logs
49,,Jóhann Berg Guðmundsson,is ISL,"MF,FW",Burnley,26,1990,35,32,"2,833",2,8,0,0,2,0,0.06,0.25,0.32,0.06,0.32,3.7,3.7,4.8,0.12,0.15,0.27,0.12,0.27,/en/players/f72293fc/matchlogs/2017-2018/Johann-Berg-Gudmundsson-Match-Logs
50,,Ryan Bertrand,eng ENG,DF,Southampton,27,1989,35,35,"3,135",0,4,0,0,2,0,0.00,0.11,0.11,0.00,0.11,1.7,1.7,2.7,0.05,0.08,0.13,0.05,0.13,/en/players/01226327/matchlogs/2017-2018/Ryan-Bertrand-Match-Logs
51,,Muhamed Bešić,ba BIH,MF,Everton,24,1992,2,0,46,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.07,0.07,0.00,0.07,/en/players/7ca9f0f0/matchlogs/2017-2018/Muhamed-Besic-Match-Logs
52,,Philip Billing,dk DEN,MF,Huddersfield,21,1996,16,8,764,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.02,0.04,0.06,0.02,0.06,/en/players/d328a254/matchlogs/2017-2018/Philip-Billing-Match-Logs
53,,Mame Biram Diouf,sn SEN,"FW,MF",Stoke City,29,1987,35,30,"2,596",6,2,0,0,6,0,0.21,0.07,0.28,0.21,0.28,7.3,7.3,1.0,0.25,0.04,0.29,0.25,0.29,/en/players/7f4f3e49/matchlogs/2017-2018/Mame-Biram-Diouf-Match-Logs
54,,Daley Blind,nl NED,"DF,MF",Manchester Utd,27,1990,7,4,362,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.6,0.03,0.14,0.18,0.03,0.18,/en/players/691bef82/matchlogs/2017-2018/Daley-Blind-Match-Logs
55,,Jeremie Boga,ci CIV,MF,Chelsea,20,1997,1,1,17,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,/en/players/fe012aca/matchlogs/2017-2018/Jeremie-Boga-Match-Logs
56,,Yannick Bolasie,cd COD,"MF,FW",Everton,28,1989,16,11,851,1,0,0,0,0,0,0.11,0.00,0.11,0.11,0.11,1.4,1.4,0.4,0.15,0.04,0.19,0.15,0.19,/en/players/715fc0fe/matchlogs/2017-2018/Yannick-Bolasie-Match-Logs
57,,Gaëtan Bong,cm CMR,DF,Brighton,29,1988,25,25,"2,236",0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.7,0.02,0.03,0.04,0.02,0.04,/en/players/cfd5e123/matchlogs/2017-2018/Gaetan-Bong-Match-Logs
58,,Wilfried Bony,ci CIV,FW,Swansea City,28,1988,15,8,707,2,0,0,0,2,0,0.25,0.00,0.25,0.25,0.25,1.6,1.6,0.2,0.21,0.02,0.23,0.21,0.23,/en/players/61abe9b6/matchlogs/2017-2018/Wilfried-Bony-Match-Logs
59,,Sofiane Boufal,ma MAR,"MF,FW",Southampton,23,1993,26,11,"1,219",2,2,0,0,1,0,0.15,0.15,0.30,0.15,0.30,1.4,1.4,1.4,0.10,0.10,0.21,0.10,0.21,/en/players/b0c71810/matchlogs/2017-2018/Sofiane-Boufal-Match-Logs
60,,Robbie Brady,ie IRL,"MF,FW",Burnley,25,1992,15,15,"1,277",1,2,0,0,3,0,0.07,0.14,0.21,0.07,0.21,1.3,1.3,2.1,0.09,0.15,0.24,0.09,0.24,/en/players/96bb8cc2/matchlogs/2017-2018/Robbie-Brady-Match-Logs
61,,Claudio Bravo,cl CHI,GK,Manchester City,34,1983,3,2,226,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,/en/players/10072610/matchlogs/2017-2018/Claudio-Bravo-Match-Logs
62,,Miguel Britos,uy URU,DF,Watford,32,1985,12,10,797,1,0,0,0,3,1,0.11,0.00,0.11,0.11,0.11,0.8,0.8,0.7,0.09,0.07,0.17,0.09,0.17,/en/players/356a9a62/matchlogs/2017-2018/Miguel-Britos-Match-Logs
63,,Leon Britton,eng ENG,MF,Swansea City,34,1982,5,4,302,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,/en/players/b92dd711/matchlogs/2017-2018/Leon-Britton-Match-Logs
64,,Izzy Brown,eng ENG,"MF,FW",Brighton,20,1997,13,4,311,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.7,0.04,0.20,0.24,0.04,0.24,/en/players/bf54c8cc/matchlogs/2017-2018/Izzy-Brown-Match-Logs
65,,Bruno,es ESP,DF,Brighton,36,1980,25,23,"2,016",0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,1.2,0.00,0.05,0.06,0.00,0.06,/en/players/78803d03/matchlogs/2017-2018/Bruno-Match-Logs
66,,Chris Brunt,nir NIR,"MF,DF",West Brom,32,1984,26,22,"1,920",0,7,0,0,5,0,0.00,0.33,0.33,0.00,0.33,1.7,1.7,3.3,0.08,0.15,0.23,0.08,0.23,/en/players/ec7e6ad1/matchlogs/2017-2018/Chris-Brunt-Match-Logs
67,,Oliver Burke,sco SCO,"FW,MF",West Brom,20,1997,15,2,367,0,2,0,0,0,0,0.00,0.49,0.49,0.00,0.49,0.5,0.5,0.3,0.12,0.09,0.21,0.12,0.21,/en/players/f631c17f/matchlogs/2017-2018/Oliver-Burke-Match-Logs
68,,Jack Butland,eng ENG,GK,Stoke City,24,1993,35,35,"3,150",0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,/en/players/cc70a1d5/matchlogs/2017-2018/Jack-Butland-Match-Logs
69,,Sam Byram,eng ENG,"DF,MF",West Ham,23,1993,5,2,248,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.12,0.05,0.18,0.12,0.18,/en/players/1bf811d4/matchlogs/2017-2018/Sam-Byram-Match-Logs
70,,Willy Caballero,ar ARG,GK,Chelsea,35,1981,3,3,270,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,/en/players/a179d516/matchlogs/2017-2018/Willy-Caballero-Match-Logs
71,,Yohan Cabaye,fr FRA,MF,Crystal Palace,31,1986,31,28,"2,376",0,1,0,0,7,0,0.00,0.04,0.04,0.00,0.04,2.4,2.4,3.4,0.09,0.13,0.22,0.09,0.22,/en/players/ad7b19ef/matchlogs/2017-2018/Yohan-Cabaye-Match-Logs
72,,Gary Cahill,eng ENG,DF,Chelsea,31,1985,27,24,"2,086",0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.02,0.00,0.02,0.02,0.02,/en/players/7914b9fe/matchlogs/2017-2018/Gary-Cahill-Match-Logs
73,,Dominic Calvert-Lewin,eng ENG,"FW,MF",Everton,20,1997,32,18,"1,882",4,6,0,0,4,0,0.19,0.29,0.48,0.19,0.48,4.7,4.7,1.7,0.23,0.08,0.31,0.23,0.31,/en/players/59e6e5bf/matchlogs/2017-2018/Dominic-Calvert-Lewin-Match-Logs
74,,Geoff Cameron,us USA,"MF,DF",Stoke City,32,1985,20,17,"1,525",0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.02,0.01,0.03,0.02,0.03,/en/players/1a160ea3/matchlogs/2017-2018/Geoff-Cameron-Match-Logs
75,,Tyrese Campbell,eng ENG,"FW,MF",Stoke City,17,1999,4,0,79,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.19,0.00,0.19,0.19,0.19,/en/players/38aefb74/matchlogs/2017-2018/Tyrese-Campbell-Match-Logs
76,,Emre Can,de GER,MF,Liverpool,23,1994,26,24,"2,091",3,4,0,0,8,0,0.13,0.17,0.30,0.13,0.30,1.8,1.8,3.2,0.08,0.14,0.21,0.08,0.21,/en/players/a65ce836/matchlogs/2017-2018/Emre-Can-Match-Logs
77,,Étienne Capoue,fr FRA,MF,Watford,29,1988,23,18,"1,542",1,0,0,0,3,0,0.06,0.00,0.06,0.06,0.06,1.2,1.2,0.8,0.07,0.05,0.12,0.07,0.12,/en/players/5acc4a10/matchlogs/2017-2018/Etienne-Capoue-Match-Logs
78,,Michael Carrick,eng ENG,MF,Manchester Utd,36,1981,2,1,109,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.17,0.04,0.22,0.17,0.22,/en/players/ab7263c1/matchlogs/2017-2018/Michael-Carrick-Match-Logs
79,,André Carrillo,pe PER,"FW,MF",Watford,26,1991,28,16,"1,540",1,2,0,0,2,0,0.06,0.12,0.18,0.06,0.18,2.3,2.3,2.3,0.13,0.14,0.27,0.13,0.27,/en/players/7527558b/matchlogs/2017-2018/Andre-Carrillo-Match-Logs
80,,Guido Carrillo,ar ARG,FW,Southampton,26,1991,7,5,450,0,1,0,0,0,0,0.00,0.20,0.20,0.00,0.20,0.6,0.6,0.8,0.12,0.16,0.28,0.12,0.28,/en/players/8f898ba8/matchlogs/2017-2018/Guido-Carrillo-Match-Logs
81,,Andy Carroll,eng ENG,"FW,MF",West Ham,28,1989,16,7,751,3,0,0,0,6,2,0.36,0.00,0.36,0.36,0.36,1.3,1.3,0.2,0.16,0.03,0.19,0.16,0.19,/en/players/b581987a/matchlogs/2017-2018/Andy-Carroll-Match-Logs
82,,Tom Carroll,eng ENG,MF,Swansea City,25,1992,37,28,"2,570",0,4,0,0,3,0,0.00,0.14,0.14,0.00,0.14,1.0,1.0,3.6,0.04,0.13,0.16,0.04,0.16,/en/players/5a1900a4/matchlogs/2017-2018/Tom-Carroll-Match-Logs
83,,Craig Cathcart,nir NIR,DF,Watford,28,1989,7,5,523,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.04,0.01,0.05,0.04,0.05,/en/players/89e4b358/matchlogs/2017-2018/Craig-Cathcart-Match-Logs
84,,Petr Čech,cz CZE,GK,Arsenal,35,1982,34,34,"3,039",0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,/en/players/71672fa0/matchlogs/2017-2018/Petr-Cech-Match-Logs
85,,Nacer Chadli,be BEL,"FW,MF",West Brom,27,1989,5,2,260,1,0,0,0,1,0,0.35,0.00,0.35,0.35,0.35,0.2,0.2,0.1,0.09,0.04,0.13,0.09,0.13,/en/players/5b54bf3b/matchlogs/2017-2018/Nacer-Chadli-Match-Logs
86,,Nathaniel Chalobah,eng ENG,MF,Watford,22,1994,6,5,447,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.0,0.17,0.01,0.17,0.17,0.17,/en/players/422862ea/matchlogs/2017-2018/Nathaniel-Chalobah-Match-Logs
87,,Calum Chambers,eng ENG,DF,Arsenal,22,1995,12,10,866,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.0,0.11,0.00,0.11,0.11,0.11,/en/players/dc6f5bdd/matchlogs/2017-2018/Calum-Chambers-Match-Logs
88,,Ben Chilwell,eng ENG,DF,Leicester City,20,1996,24,20,"1,853",0,2,0,0,2,2,0.00,0.10,0.10,0.00,0.10,0.1,0.1,1.8,0.01,0.09,0.09,0.01,0.09,/en/players/d2424d1b/matchlogs/2017-2018/Ben-Chilwell-Match-Logs
89,,Hamza Choudhury,eng ENG,MF,Leicester City,19,1997,8,4,378,0,1,0,0,1,0,0.00,0.24,0.24,0.00,0.24,0.0,0.0,0.2,0.01,0.04,0.06,0.01,0.06,/en/players/7d2d3329/matchlogs/2017-2018/Hamza-Choudhury-Match-Logs
90,,Andreas Christensen,dk DEN,DF,Chelsea,21,1996,27,23,"2,086",0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.3,1.3,0.2,0.06,0.01,0.07,0.06,0.07,/en/players/1cb49278/matchlogs/2017-2018/Andreas-Christensen-Match-Logs
91,,Lee Chung-yong,kr KOR,"FW,MF",Crystal Palace,29,1988,7,1,135,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.07,0.07,0.00,0.07,/en/players/49b05a83/matchlogs/2017-2018/Lee-Chung-yong-Match-Logs
92,,Ciaran Clark,ie IRL,DF,Newcastle Utd,27,1989,20,19,"1,746",2,1,0,0,3,0,0.10,0.05,0.15,0.10,0.15,1.9,1.9,0.5,0.10,0.02,0.12,0.10,0.12,/en/players/2b91cf8e/matchlogs/2017-2018/Ciaran-Clark-Match-Logs
93,,Tom Cleverley,eng ENG,MF,Watford,27,1989,23,22,"1,902",1,2,0,1,2,2,0.05,0.09,0.14,0.05,0.14,1.8,1.0,1.0,0.09,0.05,0.13,0.05,0.10,/en/players/6cdd8245/matchlogs/2017-2018/Tom-Cleverley-Match-Logs
