,squad,players_used,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90
0,Arsenal,30,38,418,"3,420",73,61,4,5,57,2,1.92,1.61,3.53,1.82,3.42,62.9,59.1,46.8,1.66,1.23,2.89,1.56,2.79
1,Bournemouth,22,38,418,"3,420",45,36,3,3,56,2,1.18,0.95,2.13,1.11,2.05,44.4,42.1,29.7,1.17,0.78,1.95,1.11,1.89
2,Brighton,24,38,418,"3,420",33,25,5,7,54,2,0.87,0.66,1.53,0.74,1.39,38.0,32.7,23.6,1.00,0.62,1.62,0.86,1.48
3,Burnley,24,38,418,"3,420",35,26,0,0,65,0,0.92,0.68,1.61,0.92,1.61,34.6,34.6,22.7,0.91,0.60,1.51,0.91,1.51
4,Chelsea,26,38,418,"3,420",60,42,3,3,44,6,1.58,1.11,2.68,1.50,2.61,55.4,53.1,38.1,1.46,1.00,2.46,1.40,2.40
5,Crystal Palace,28,38,418,"3,420",44,26,8,10,72,0,1.16,0.68,1.84,0.95,1.63,53.6,46.4,30.2,1.41,0.80,2.21,1.22,2.02
6,Everton,30,38,418,"3,420",42,26,5,8,53,5,1.11,0.68,1.79,0.97,1.66,39.6,33.4,22.4,1.04,0.59,1.63,0.88,1.47
7,Huddersfield,25,38,418,"3,420",25,19,2,2,63,5,0.66,0.50,1.16,0.61,1.11,31.7,30.2,22.3,0.83,0.59,1.42,0.79,1.38
8,Leicester City,27,38,418,"3,420",53,38,5,6,56,9,1.39,1.00,2.39,1.26,2.26,46.5,42.0,28.9,1.22,0.76,1.99,1.10,1.87
9,Liverpool,27,38,418,"3,420",82,58,2,3,44,1,2.16,1.53,3.68,2.11,3.63,71.2,68.9,51.0,1.87,1.34,3.22,1.81,3.16
10,Manchester City,25,38,418,"3,420",103,85,6,8,61,4,2.71,2.24,4.95,2.55,4.79,81.7,75.8,57.5,2.15,1.51,3.66,1.99,3.51
11,Manchester Utd,27,38,418,"3,420",67,53,1,3,64,1,1.76,1.39,3.16,1.74,3.13,56.5,54.1,42.0,1.49,1.11,2.59,1.42,2.53
12,Newcastle Utd,27,38,418,"3,420",38,29,0,1,53,3,1.00,0.76,1.76,1.00,1.76,41.9,41.2,27.0,1.10,0.71,1.81,1.08,1.79
13,Southampton,26,38,418,"3,420",36,23,3,3,64,3,0.95,0.61,1.55,0.87,1.47,39.8,37.6,28.2,1.05,0.74,1.79,0.99,1.73
14,Stoke City,30,38,418,"3,420",34,28,0,3,62,1,0.89,0.74,1.63,0.89,1.63,37.7,35.4,26.5,0.99,0.70,1.69,0.93,1.63
15,Swansea City,26,38,418,"3,420",27,20,1,1,51,1,0.71,0.53,1.24,0.68,1.21,30.6,29.8,18.5,0.80,0.49,1.29,0.78,1.27
16,Tottenham,25,38,418,"3,420",70,51,2,3,51,3,1.84,1.34,3.18,1.79,3.13,67.3,64.9,49.2,1.77,1.30,3.07,1.71,3.00
17,Watford,29,38,418,"3,420",42,27,3,6,64,5,1.11,0.71,1.82,1.03,1.74,44.0,39.3,26.8,1.16,0.71,1.86,1.03,1.74
18,West Brom,24,38,418,"3,420",31,24,1,1,73,1,0.82,0.63,1.45,0.79,1.42,34.1,33.3,22.9,0.90,0.60,1.50,0.88,1.48
19,West Ham,27,38,418,"3,420",48,29,2,4,74,3,1.26,0.76,2.03,1.21,1.97,37.2,34.2,24.1,0.98,0.63,1.61,0.90,1.53
